                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.86714,                0.46294,                0.90847,                0.96637,                0.97045,                0.98894,                0.79585,                0.95216,                0.44848,                0.94412,             0.00089134,             0.00089134,             0.00089134
                     49,                0.86513,                0.45807,                 0.9107,                0.97154,                0.96842,                0.98638,                0.81104,                0.89514,                0.45854,                0.92666,             0.00087484,             0.00087484,             0.00087484
                     50,                0.86903,                 0.4571,                0.90622,                0.97412,                0.97172,                0.98602,                0.78159,                0.94043,                0.46704,                0.93713,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.8428,                0.45211,                0.91012,                0.96257,                0.97748,                0.99016,                 0.8055,                0.91056,                 0.4256,                0.92915,             0.00084184,             0.00084184,             0.00084184
                     52,                0.84396,                0.44924,                0.90174,                0.95965,                0.96664,                 0.9896,                0.81075,                0.87925,                0.44874,                0.91285,             0.00082533,             0.00082533,             0.00082533
                     53,                0.83374,                0.44873,                0.90182,                0.96927,                0.96559,                0.98994,                0.80984,                0.88195,                0.44366,                0.91619,             0.00080883,             0.00080883,             0.00080883
                     54,                0.83157,                0.44633,                0.89584,                0.96315,                0.96401,                0.98258,                0.76741,                0.98297,                0.45385,                0.95105,             0.00079233,             0.00079233,             0.00079233
                     55,                0.81971,                0.43942,                0.89751,                0.96068,                0.97677,                 0.9885,                0.80695,                0.85747,                0.43103,                0.90945,             0.00077582,             0.00077582,             0.00077582
                     56,                0.82803,                0.43798,                 0.8999,                0.96339,                 0.9804,                0.99011,                0.81901,                0.85259,                0.41102,                0.91311,             0.00075932,             0.00075932,             0.00075932
                     57,                0.81645,                0.43594,                0.89754,                0.96685,                0.98489,                0.98997,                0.81656,                0.87688,                0.42882,                0.91031,             0.00074282,             0.00074282,             0.00074282
                     58,                0.82588,                0.43987,                0.89723,                  0.952,                0.97483,                0.98768,                0.79632,                0.90587,                0.43948,                0.91518,             0.00072631,             0.00072631,             0.00072631
                     59,                0.83335,                0.44696,                0.90044,                0.96628,                0.98437,                0.98995,                0.82015,                0.86162,                0.40785,                0.91427,             0.00070981,             0.00070981,             0.00070981
                     60,                0.82136,                0.43397,                0.89295,                0.96789,                0.97907,                0.98631,                0.81256,                0.86914,                0.41855,                0.90833,             0.00069331,             0.00069331,             0.00069331
                     61,                0.81719,                 0.4261,                0.89443,                 0.9689,                0.97399,                0.98923,                0.80807,                0.85839,                0.42245,                0.90622,              0.0006768,              0.0006768,              0.0006768
                     62,                0.78863,                0.41997,                0.89152,                0.96708,                0.97456,                0.98994,                0.82544,                 0.8464,                0.40687,                0.90222,              0.0006603,              0.0006603,              0.0006603
                     63,                0.80484,                0.42659,                 0.8934,                0.96295,                0.96994,                0.99006,                0.79793,                0.88979,                0.41081,                0.91822,              0.0006438,              0.0006438,              0.0006438
                     64,                0.80461,                0.42537,                0.89271,                0.96358,                0.97698,                0.98946,                0.81128,                0.87379,                 0.4244,                0.91036,             0.00062729,             0.00062729,             0.00062729
                     65,                0.79105,                0.41927,                0.89141,                 0.9632,                0.96767,                 0.9861,                 0.8085,                0.87984,                0.43106,                0.91284,             0.00061079,             0.00061079,             0.00061079
                     66,                0.80254,                 0.4217,                0.89228,                 0.9652,                0.97138,                0.98752,                 0.8053,                0.88162,                0.41466,                0.91234,             0.00059429,             0.00059429,             0.00059429
                     67,                0.78867,                0.41642,                0.88966,                0.96137,                0.96997,                0.98637,                0.76829,                 0.9824,                0.44299,                0.94686,             0.00057778,             0.00057778,             0.00057778
                     68,                0.78259,                0.41082,                 0.8846,                 0.9675,                0.97907,                0.98986,                0.83173,                0.83629,                0.40141,                0.90719,             0.00056128,             0.00056128,             0.00056128
                     69,                0.78662,                0.41815,                0.88507,                0.97831,                0.96767,                0.98706,                 0.8188,                0.85884,                0.41865,                0.91824,             0.00054478,             0.00054478,             0.00054478
                     70,                0.79659,                0.41311,                 0.8886,                0.96794,                0.97006,                0.98805,                0.81809,                0.84919,                0.40908,                0.90463,             0.00052827,             0.00052827,             0.00052827
                     71,                0.79687,                0.41729,                0.88632,                0.96342,                0.97174,                0.98395,                0.80829,                 0.8681,                0.41565,                0.91331,             0.00051177,             0.00051177,             0.00051177
                     72,                0.77016,                0.40904,                0.88503,                0.96905,                0.97245,                0.98974,                0.83476,                0.81551,                 0.3965,                0.89856,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.7555,                0.40062,                0.87865,                0.97116,                0.97612,                0.98507,                0.82103,                0.83748,                0.38641,                 0.9024,             0.00047876,             0.00047876,             0.00047876
                     74,                0.75614,                0.40322,                  0.886,                0.97059,                0.98068,                0.98816,                0.81198,                0.85836,                0.40526,                 0.9082,             0.00046226,             0.00046226,             0.00046226
                     75,                0.77731,                0.40712,                0.88104,                 0.9715,                0.97272,                 0.9883,                0.80969,                 0.8866,                0.40946,                0.91404,             0.00044576,             0.00044576,             0.00044576
                     76,                0.76602,                0.40508,                 0.8801,                0.96183,                0.97589,                0.98853,                0.80514,                0.90274,                0.40388,                0.91729,             0.00042925,             0.00042925,             0.00042925
                     77,                0.74207,                0.38832,                0.87418,                0.96575,                0.98198,                0.99009,                0.83698,                 0.8145,                0.37983,                0.89937,             0.00041275,             0.00041275,             0.00041275
                     78,                0.72768,                0.38654,                0.87141,                0.97501,                0.97961,                0.98699,                0.81468,                0.85665,                0.39105,                  0.907,             0.00039625,             0.00039625,             0.00039625
                     79,                0.75311,                0.39422,                0.88159,                0.97397,                0.97296,                0.98626,                0.81244,                0.88242,                0.40033,                0.91503,             0.00037974,             0.00037974,             0.00037974
                     80,                0.75847,                0.39916,                0.88203,                0.97479,                0.97864,                0.99004,                0.82087,                0.83784,                0.39348,                0.90105,             0.00036324,             0.00036324,             0.00036324
                     81,                0.73527,                0.38729,                0.87194,                0.97292,                0.96874,                0.98612,                0.82137,                0.83412,                0.39418,                0.89552,             0.00034674,             0.00034674,             0.00034674
                     82,                0.74127,                0.39159,                0.87443,                0.97353,                0.97682,                0.98974,                0.80894,                0.87196,                0.39772,                0.90297,             0.00033023,             0.00033023,             0.00033023
                     83,                0.72851,                0.38543,                 0.8722,                0.97377,                0.97205,                0.98656,                0.81805,                0.86243,                0.40869,                0.90451,             0.00031373,             0.00031373,             0.00031373
                     84,                0.74643,                 0.3887,                0.87487,                 0.9708,                0.98729,                0.98969,                0.83513,                0.81874,                0.37666,                0.89719,             0.00029723,             0.00029723,             0.00029723
                     85,                0.72256,                0.38284,                 0.8722,                0.96868,                0.97574,                0.98789,                0.82787,                0.81168,                0.38656,                 0.8948,             0.00028072,             0.00028072,             0.00028072
                     86,                0.73104,                0.38239,                 0.8745,                0.96992,                0.97703,                0.99017,                 0.8296,                0.82148,                0.38045,                 0.8948,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.7289,                0.38095,                0.87163,                0.96811,                0.98161,                0.98779,                0.82088,                0.84223,                0.38478,                0.90164,             0.00024772,             0.00024772,             0.00024772
                     88,                0.72337,                0.37613,                0.87016,                0.96989,                0.97678,                0.99101,                0.83518,                0.83001,                0.38058,                0.90019,             0.00023121,             0.00023121,             0.00023121
                     89,                0.70691,                0.37001,                0.86776,                0.97115,                0.97703,                0.99123,                0.83943,                0.82092,                0.37683,                0.89636,             0.00021471,             0.00021471,             0.00021471
                     90,                0.71328,                 0.3763,                0.87166,                0.97365,                0.97271,                0.98929,                0.84051,                0.80947,                0.37813,                0.89241,             0.00019821,             0.00019821,             0.00019821
                     91,                0.71008,                0.37253,                0.86893,                0.96945,                0.97774,                0.98823,                0.82821,                0.81621,                 0.3765,                 0.8905,              0.0001817,              0.0001817,              0.0001817
                     92,                0.69881,                0.36875,                0.86754,                0.96015,                0.98437,                0.98789,                0.82305,                0.84081,                0.38332,                0.90044,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.7142,                0.37253,                0.87127,                0.96745,                0.97536,                0.98749,                0.82842,                0.82809,                 0.3954,                0.89703,              0.0001487,              0.0001487,              0.0001487
                     94,                0.69725,                0.36648,                0.86595,                0.97903,                0.97667,                0.98824,                 0.8308,                0.83378,                0.37825,                0.89795,             0.00013219,             0.00013219,             0.00013219
                     95,                0.70165,                0.36936,                0.86681,                0.97179,                0.97173,                0.98946,                0.83466,                0.83271,                0.37782,                0.89732,             0.00011569,             0.00011569,             0.00011569
                     96,                0.70187,                0.36672,                0.86683,                0.96424,                0.98437,                 0.9888,                0.83524,                0.80597,                0.36897,                0.89132,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.6881,                0.36345,                0.86946,                0.96975,                 0.9778,                0.98981,                 0.8347,                0.81554,                0.37165,                 0.8945,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.69273,                  0.365,                0.86578,                0.96895,                0.98346,                0.98946,                0.83246,                0.81972,                0.36751,                0.89278,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.67889,                0.35751,                0.86482,                0.97126,                0.98389,                0.98918,                0.83422,                0.81769,                0.36243,                0.89388,             4.9677e-05,             4.9677e-05,             4.9677e-05
