                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.76886,                0.41938,                0.91386,                0.97922,                0.98773,                0.99214,                0.76328,                0.91038,                0.41427,                 0.9555,               0.001571,               0.001571,               0.001571
                     67,                0.77652,                0.42757,                0.92154,                0.97764,                0.98373,                 0.9907,                 0.7738,                0.88373,                0.40991,                0.94664,              0.0015644,              0.0015644,              0.0015644
                     68,                0.77624,                0.42103,                0.91172,                0.98163,                0.98359,                0.99057,                0.77153,                0.90581,                0.40945,                0.96455,              0.0015578,              0.0015578,              0.0015578
                     69,                0.79049,                0.42823,                 0.9237,                0.99013,                0.99182,                0.99249,                0.77907,                0.89861,                0.40122,                0.95101,              0.0015512,              0.0015512,              0.0015512
                     70,                0.76021,                0.41663,                0.91257,                0.98357,                0.97966,                0.99023,                0.79023,                0.84293,                0.39202,                0.93958,              0.0015446,              0.0015446,              0.0015446
                     71,                0.76078,                0.41886,                0.91795,                0.97954,                  0.979,                0.99175,                 0.7685,                0.91585,                0.41381,                0.95502,               0.001538,               0.001538,               0.001538
                     72,                0.74323,                0.40648,                0.90673,                0.98567,                0.98435,                0.99277,                 0.7878,                0.82646,                0.37982,                0.92861,              0.0015314,              0.0015314,              0.0015314
                     73,                0.76869,                0.41759,                0.91439,                 0.9837,                0.98756,                0.98999,                0.77425,                0.89941,                0.40443,                0.95281,              0.0015248,              0.0015248,              0.0015248
                     74,                0.75922,                0.41111,                0.91022,                0.98959,                0.98773,                0.99129,                0.78104,                0.86495,                0.39273,                0.94337,              0.0015182,              0.0015182,              0.0015182
                     75,                0.74902,                0.40627,                0.91163,                0.98318,                0.97955,                 0.9907,                0.76564,                0.90524,                0.39484,                0.94748,              0.0015116,              0.0015116,              0.0015116
                     76,                0.74626,                0.40435,                0.91007,                0.98327,                0.98773,                 0.9912,                0.78017,                0.88275,                0.39626,                0.94192,               0.001505,               0.001505,               0.001505
                     77,                0.75367,                0.40942,                0.91067,                 0.9813,                0.98978,                0.99168,                0.76948,                0.91393,                0.41156,                0.95622,              0.0014984,              0.0014984,              0.0014984
                     78,                0.75565,                0.41489,                0.90834,                0.98621,                0.98364,                0.99178,                0.78624,                 0.8576,                0.39293,                0.93694,              0.0014918,              0.0014918,              0.0014918
                     79,                0.73764,                0.40342,                 0.9037,                0.98752,                0.98773,                0.99117,                0.78443,                0.86059,                0.39281,                0.93449,              0.0014852,              0.0014852,              0.0014852
                     80,                0.73886,                  0.401,                0.90559,                0.98569,                0.98637,                0.99139,                0.78843,                0.86156,                0.39201,                0.93291,              0.0014786,              0.0014786,              0.0014786
                     81,                0.72885,                0.40171,                0.90205,                0.98772,                0.98695,                0.99085,                0.78156,                0.89118,                0.39913,                0.94349,               0.001472,               0.001472,               0.001472
                     82,                0.75118,                0.40944,                0.90468,                0.98565,                0.98349,                0.99106,                 0.7859,                0.87318,                0.38431,                0.93866,              0.0014654,              0.0014654,              0.0014654
                     83,                0.73323,                0.40128,                 0.9059,                 0.9897,                0.98274,                0.99207,                0.78245,                0.89781,                0.38985,                0.95218,              0.0014588,              0.0014588,              0.0014588
                     84,                0.73002,                0.39975,                0.90667,                0.98974,                0.98618,                 0.9912,                0.79846,                0.82513,                0.37408,                0.92762,              0.0014522,              0.0014522,              0.0014522
                     85,                  0.724,                0.39557,                0.90761,                0.98971,                0.98314,                0.99115,                0.79195,                0.85042,                0.37228,                0.92845,              0.0014456,              0.0014456,              0.0014456
