                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 0.8723,                0.44651,                 0.9066,                0.97986,                0.98728,                0.98772,                0.81259,                 0.8942,                0.41336,                0.92332,             0.00062729,             0.00062729,             0.00062729
                     65,                0.87547,                0.45022,                0.90885,                0.97152,                0.98729,                0.99205,                0.80198,                0.92213,                0.42469,                0.92796,             0.00061079,             0.00061079,             0.00061079
                     66,                   0.86,                0.43987,                0.90328,                0.97929,                0.98089,                0.99018,                0.80718,                0.89876,                0.41461,                0.91862,             0.00059429,             0.00059429,             0.00059429
                     67,                0.86682,                0.44417,                0.90366,                0.97769,                0.98603,                0.98985,                0.81344,                 0.8711,                0.40184,                0.91469,             0.00057778,             0.00057778,             0.00057778
                     68,                0.86124,                0.43532,                 0.9057,                0.97695,                 0.9843,                0.99029,                0.81688,                0.88223,                0.40475,                0.91507,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.8582,                0.43419,                0.90232,                0.97695,                0.98644,                0.99007,                0.81482,                0.87714,                0.39475,                 0.9166,             0.00054478,             0.00054478,             0.00054478
                     70,                0.84476,                0.42906,                0.90254,                  0.976,                0.98988,                0.99236,                0.82036,                0.86631,                0.39578,                0.91727,             0.00052827,             0.00052827,             0.00052827
                     71,                0.85772,                 0.4332,                0.90361,                 0.9816,                0.98797,                0.99007,                0.82329,                0.85602,                0.39573,                0.90958,             0.00051177,             0.00051177,             0.00051177
                     72,                0.85689,                0.43164,                0.90298,                0.98145,                0.98791,                0.99016,                0.82334,                0.86109,                0.38572,                0.91035,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.8403,                0.42786,                0.89631,                0.97859,                0.98523,                0.99095,                0.81356,                 0.8808,                0.39712,                0.91414,             0.00047876,             0.00047876,             0.00047876
                     74,                0.83562,                 0.4225,                0.90087,                 0.9769,                0.98786,                0.98977,                0.81716,                0.85002,                0.38267,                0.90411,             0.00046226,             0.00046226,             0.00046226
                     75,                0.82986,                0.42384,                0.89318,                0.97551,                0.98887,                 0.9894,                0.81931,                0.84779,                0.39019,                 0.9026,             0.00044576,             0.00044576,             0.00044576
                     76,                0.82596,                0.42052,                0.89684,                0.97298,                0.99097,                0.98658,                0.80836,                0.88525,                0.40187,                0.91712,             0.00042925,             0.00042925,             0.00042925
