                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                   1.15,                 1.6681,                0.78657,                0.99656,                0.89672,                0.88797,                0.94914,                0.61196,                0.89643,                0.73864,                0.77682,                0.30662,                 1.2445,                 1.8263,                0.74482,                  1.062,              0.0018592,              0.0018592,              0.0018592
                     34,                 1.2633,                 1.6499,                0.80786,                 1.0452,                0.96589,                0.85807,                0.93608,                0.65859,                0.89965,                0.78788,                0.81641,                 0.3464,                 1.0894,                 1.7179,                0.70918,                  1.014,              0.0018548,              0.0018548,              0.0018548
                     35,                 1.2072,                 1.6288,                0.81874,                   1.03,                0.95009,                  0.875,                 0.9436,                0.63055,                  0.887,                0.76136,                0.79489,                0.31051,                 1.1798,                 1.7721,                0.71209,                 1.0298,              0.0018504,              0.0018504,              0.0018504
                     36,                 1.1604,                 1.5661,                  0.752,                 1.0136,                0.92173,                0.87121,                0.94065,                0.66859,                0.86861,                0.77631,                0.79994,                0.36565,                 1.0606,                 1.6828,                0.67096,                 1.0008,               0.001846,               0.001846,               0.001846
                     37,                 1.1416,                 1.5585,                0.75628,                0.99662,                0.95032,                0.86943,                0.92423,                0.64519,                0.88319,                0.76515,                0.77995,                0.38706,                 1.0682,                 1.7091,                0.70187,                 1.0054,              0.0018416,              0.0018416,              0.0018416
                     38,                 1.1545,                 1.5827,                0.76519,                 1.0086,                0.96215,                0.85227,                0.94198,                0.66361,                0.89174,                0.76894,                0.78418,                 0.3113,                 1.0669,                 1.7311,                0.69643,                 1.0021,              0.0018372,              0.0018372,              0.0018372
                     39,                  1.179,                 1.6932,                0.82516,                 1.0153,                0.95036,                0.87029,                0.93872,                0.63902,                0.90859,                0.76894,                 0.7941,                0.35141,                 1.1031,                  1.631,                0.69687,                 1.0189,              0.0018328,              0.0018328,              0.0018328
                     40,                 1.1535,                 1.5945,                0.76679,                0.99371,                 0.8909,                0.89394,                0.94444,                0.68306,                0.90044,                0.75368,                0.78286,                0.34979,                 1.0509,                 1.7511,                0.65659,                 1.0043,              0.0018284,              0.0018284,              0.0018284
                     41,                 1.1975,                 1.6494,                0.76144,                 0.9936,                0.92039,                0.87582,                0.94384,                0.65466,                0.89537,                 0.7803,                0.81125,                0.36519,                 1.1228,                 1.7522,                0.67175,                 1.0271,               0.001824,               0.001824,               0.001824
                     42,                 1.1768,                 1.6139,                0.75925,                 1.0177,                0.89105,                0.87121,                0.94046,                0.62786,                0.87762,                0.76062,                0.80765,                0.32883,                 1.1683,                 1.7652,                0.70133,                  1.028,              0.0018196,              0.0018196,              0.0018196
                     43,                  1.327,                 1.6733,                0.82531,                 1.0433,                0.93504,                0.86742,                0.94126,                0.65899,                0.91712,                0.75447,                0.81682,                0.39487,                 1.0995,                 1.7692,                0.70139,                 1.0122,              0.0018152,              0.0018152,              0.0018152
                     44,                 1.1849,                 1.5917,                0.79378,                 1.0175,                0.92943,                0.86364,                0.94383,                0.64506,                0.84732,                0.75379,                0.78568,                0.33828,                 1.1129,                 1.7779,                0.77037,                 1.0224,              0.0018108,              0.0018108,              0.0018108
                     45,                 1.1724,                 1.5903,                0.84102,                 1.0083,                0.88661,                0.88854,                0.93485,                 0.6378,                0.85348,                0.75379,                0.77087,                0.32428,                 1.1241,                 1.7627,                 0.7263,                 1.0283,              0.0018064,              0.0018064,              0.0018064
                     46,                 1.1447,                  1.603,                 0.7648,                0.98917,                0.91699,                0.87876,                0.94194,                0.62235,                0.85448,                0.75379,                0.79015,                0.29928,                 1.1772,                 1.8982,                0.70538,                 1.0367,               0.001802,               0.001802,               0.001802
                     47,                 1.1624,                 1.6146,                0.79992,                 1.0201,                0.92247,                0.88636,                0.94682,                0.65919,                0.89421,                0.75379,                0.80909,                0.40463,                  1.064,                 1.5605,                0.68928,                 1.0108,              0.0017976,              0.0017976,              0.0017976
                     48,                 1.1176,                 1.5687,                0.74613,                0.98949,                0.93246,                0.83333,                0.93682,                0.66043,                0.89621,                0.76515,                0.82594,                0.39292,                 1.0698,                 1.7519,                0.66687,                0.99992,              0.0017932,              0.0017932,              0.0017932
                     49,                 1.1313,                 1.5887,                0.73175,                0.99474,                0.96473,                0.82882,                0.92755,                0.65247,                0.88617,                0.77652,                 0.7814,                0.33993,                 1.0881,                 1.6888,                0.66002,                 1.0129,              0.0017888,              0.0017888,              0.0017888
                     50,                 1.1407,                 1.6052,                0.71608,                0.99232,                0.92834,                0.88333,                 0.9414,                0.66972,                0.88429,                0.80303,                0.82055,                0.35384,                 1.0433,                 1.6482,                0.64645,                 1.0013,              0.0017844,              0.0017844,              0.0017844
                     51,                 1.1159,                 1.5449,                0.72118,                 0.9893,                0.93249,                0.88939,                 0.9417,                0.67762,                0.90397,                0.78444,                0.80421,                0.37628,                 1.0238,                 1.7327,                0.64257,                0.99004,                0.00178,                0.00178,                0.00178
                     52,                  1.076,                 1.5225,                0.70425,                0.98281,                0.95791,                0.86217,                0.94387,                0.65661,                0.90093,                0.79545,                0.82778,                0.35195,                 1.0915,                  1.677,                0.65543,                 1.0046,              0.0017756,              0.0017756,              0.0017756
                     53,                 1.0561,                 1.4766,                0.69015,                0.96836,                0.91429,                0.92045,                 0.9463,                0.66466,                0.90904,                0.79492,                0.83838,                0.36606,                 1.1079,                 1.7284,                 0.6558,                 1.0196,              0.0017712,              0.0017712,              0.0017712
                     54,                 1.1189,                 1.5324,                0.71237,                0.98731,                0.91889,                0.90118,                0.95093,                0.68908,                0.91108,                0.78409,                0.82697,                 0.3606,                 1.0332,                 1.5929,                0.61841,                0.99211,              0.0017668,              0.0017668,              0.0017668
                     55,                 1.0624,                 1.4948,                0.68222,                0.97516,                0.92611,                0.90207,                0.94953,                0.66394,                0.90683,                0.78788,                0.82876,                0.35352,                 1.1015,                 1.8168,                0.64065,                0.99952,              0.0017624,              0.0017624,              0.0017624
                     56,                 1.0965,                 1.4883,                0.69249,                  0.991,                0.92726,                0.86911,                0.95071,                0.65945,                0.89061,                0.77652,                0.84599,                0.36962,                 1.0712,                 1.6043,                0.65201,                0.99899,               0.001758,               0.001758,               0.001758
                     57,                 1.0808,                 1.5253,                0.69879,                0.96496,                0.94471,                0.84136,                0.94571,                0.66744,                0.93446,                0.75606,                0.85194,                0.33778,                  1.105,                 1.8447,                0.65726,                 1.0182,              0.0017536,              0.0017536,              0.0017536
                     58,                 1.1193,                 1.5554,                0.70653,                0.99624,                0.95602,                0.83333,                0.93744,                0.63864,                0.89998,                0.78393,                0.83953,                0.34306,                 1.1731,                 1.7478,                0.66062,                 1.0331,              0.0017492,              0.0017492,              0.0017492
                     59,                   1.12,                 1.5625,                0.72471,                 1.0003,                0.92715,                0.89394,                 0.9397,                0.67505,                0.88969,                0.79435,                0.83179,                0.38095,                 1.1093,                  1.658,                 0.6579,                 1.0005,              0.0017448,              0.0017448,              0.0017448
                     60,                 1.1669,                 1.6268,                0.73496,                 1.0053,                0.93172,                0.89394,                0.94533,                0.66772,                0.92293,                0.77116,                0.81115,                0.35495,                 1.1192,                 1.7364,                0.66665,                 1.0123,              0.0017404,              0.0017404,              0.0017404
                     61,                 1.1489,                 1.5966,                0.74196,                  1.004,                0.92634,                0.89015,                0.94526,                0.69667,                0.88044,                0.78102,                0.83318,                0.36412,                 1.0559,                 1.7821,                0.63691,                0.99682,               0.001736,               0.001736,               0.001736
                     62,                  1.128,                 1.5573,                0.69796,                0.98264,                0.94411,                0.89575,                 0.9598,                0.69234,                0.82844,                0.79924,                0.82241,                0.36417,                  1.051,                 1.8416,                0.64329,                0.99108,              0.0017316,              0.0017316,              0.0017316
                     63,                 1.1286,                 1.6065,                0.73508,                0.99051,                 0.9142,                0.88795,                0.94325,                  0.677,                0.92452,                 0.7803,                0.85219,                0.39948,                0.98309,                 1.5663,                 0.6553,                 0.9769,              0.0017272,              0.0017272,              0.0017272
                     64,                 1.1333,                 1.5927,                0.70492,                0.98454,                0.92552,                0.89773,                0.95278,                0.67412,                0.90856,                0.75758,                0.84941,                0.34682,                 1.0775,                 1.8592,                0.64565,                  0.999,              0.0017228,              0.0017228,              0.0017228
                     65,                 1.0355,                 1.5085,                0.66224,                 0.9586,                0.92591,                0.91288,                  0.949,                 0.6997,                0.89435,                0.80161,                0.85602,                0.43759,                 1.0062,                 1.5818,                0.60588,                0.98691,              0.0017184,              0.0017184,              0.0017184
                     66,                 1.0538,                 1.5352,                0.66147,                0.96994,                0.93674,                 0.9053,                0.95533,                 0.7027,                0.90071,                0.79545,                0.83935,                0.37554,                0.99414,                 1.7435,                0.61498,                0.97066,               0.001714,               0.001714,               0.001714
                     67,                 1.0556,                 1.5444,                0.69204,                0.95895,                0.92294,                 0.9073,                0.94854,                0.66754,                0.87319,                0.78247,                0.83081,                 0.3534,                 1.0951,                 1.8089,                0.64737,                 1.0009,              0.0017096,              0.0017096,              0.0017096
                     68,                 1.0548,                 1.5308,                0.66533,                0.97326,                 0.9443,                0.89394,                0.94251,                0.68349,                0.88569,                0.82178,                0.84506,                 0.3802,                 1.0257,                 1.6911,                0.61402,                0.98237,              0.0017052,              0.0017052,              0.0017052
                     69,                 1.0702,                 1.5061,                0.68179,                0.98726,                0.92182,                0.89324,                0.94893,                0.68727,                0.93922,                0.80303,                0.87084,                0.39655,                 1.0487,                 1.5459,                0.60523,                 0.9908,              0.0017008,              0.0017008,              0.0017008
                     70,                 1.0753,                 1.4585,                0.66071,                 1.0033,                0.95304,                0.84848,                0.94968,                0.69293,                0.94593,                0.79521,                 0.8709,                0.42945,                 1.0158,                 1.6648,                0.60134,                0.99092,              0.0016964,              0.0016964,              0.0016964
                     71,                 1.0624,                 1.4948,                0.64534,                0.97226,                 0.9014,                0.88258,                0.94074,                0.67808,                0.91276,                0.77652,                0.83445,                0.38542,                 1.0403,                 1.5514,                0.61932,                0.98846,               0.001692,               0.001692,               0.001692
                     72,                 1.0251,                 1.4122,                0.63146,                0.95076,                0.91156,                0.89793,                0.94597,                0.67082,                0.88256,                0.78409,                0.83638,                0.39131,                 1.0925,                 1.6219,                0.61987,                 1.0046,              0.0016876,              0.0016876,              0.0016876
                     73,                 1.0124,                 1.4315,                 0.6328,                0.95488,                0.96672,                 0.8802,                0.95093,                0.65913,                0.93426,                0.80748,                0.85669,                0.41072,                 1.0685,                  1.564,                0.62736,                 1.0048,              0.0016832,              0.0016832,              0.0016832
                     74,                 1.0553,                 1.5215,                0.66494,                0.96678,                0.93284,                  0.875,                0.94043,                0.65698,                0.94289,                  0.813,                0.85899,                0.38242,                 1.1178,                 1.6575,                 0.6108,                 1.0264,              0.0016788,              0.0016788,              0.0016788
                     75,                 1.0191,                 1.4576,                0.65662,                0.96305,                0.91931,                0.90633,                0.95179,                0.64682,                0.93495,                0.80682,                0.86474,                0.36252,                 1.1373,                 1.7003,                  0.628,                 1.0244,              0.0016744,              0.0016744,              0.0016744
                     76,                 1.0803,                 1.4772,                   0.66,                0.97252,                 0.9154,                 0.9053,                0.94523,                0.67729,                0.86097,                0.83712,                0.86528,                0.42305,                 1.0434,                 1.5051,                0.61536,                0.99374,                0.00167,                0.00167,                0.00167
                     77,                 1.0774,                 1.4441,                0.67186,                0.97023,                 0.9417,                 0.9053,                0.95835,                0.69363,                 0.9036,                0.79167,                0.84864,                0.38534,                 1.0432,                 1.6879,                0.62722,                 1.0053,              0.0016656,              0.0016656,              0.0016656
                     78,                 1.0361,                 1.4567,                0.66296,                 0.9797,                0.91963,                0.91014,                0.95011,                0.69247,                0.88058,                   0.81,                0.86075,                0.40476,                  1.033,                 1.6017,                0.62842,                0.99675,              0.0016612,              0.0016612,              0.0016612
                     79,                  1.108,                 1.4702,                0.72089,                0.97912,                0.92346,                0.86833,                0.94711,                0.66461,                0.88898,                 0.7583,                0.82714,                 0.3371,                 1.1326,                   1.83,                0.66468,                 1.0248,              0.0016568,              0.0016568,              0.0016568
                     80,                 1.0697,                 1.4881,                0.68614,                0.96785,                0.91527,                0.90016,                 0.9498,                0.62491,                0.87919,                0.79944,                0.84714,                0.37014,                 1.1859,                 1.6032,                0.68181,                 1.0397,              0.0016524,              0.0016524,              0.0016524
                     81,                 1.0565,                 1.4024,                0.66998,                 0.9604,                0.93335,                0.89394,                0.95595,                0.67846,                0.89311,                0.81061,                0.86783,                0.40439,                 1.0369,                  1.683,                 0.6376,                0.99003,               0.001648,               0.001648,               0.001648
                     82,                 1.0241,                 1.4321,                0.66202,                 0.9637,                0.91286,                0.90152,                0.96258,                 0.6941,                0.93167,                0.81061,                0.89171,                 0.4439,                0.98555,                 1.4679,                0.60745,                0.97552,              0.0016436,              0.0016436,              0.0016436
                     83,                 1.0033,                 1.4227,                0.63414,                0.94922,                0.91443,                0.89051,                0.95418,                 0.6794,                0.92587,                0.80424,                0.86479,                0.38982,                 1.0684,                 1.6705,                0.61992,                0.99901,              0.0016392,              0.0016392,              0.0016392
                     84,                   1.02,                 1.3927,                0.63462,                0.95523,                0.96248,                0.87442,                0.96107,                0.68017,                0.92078,                0.79247,                0.85722,                0.38131,                 1.0795,                 1.5369,                0.62849,                 1.0101,              0.0016348,              0.0016348,              0.0016348
                     85,                0.98078,                  1.387,                0.61459,                0.94029,                0.91668,                0.92424,                0.95666,                0.69014,                  0.887,                 0.8325,                0.86589,                0.39712,                 1.0663,                 1.6598,                0.60718,                 1.0017,              0.0016304,              0.0016304,              0.0016304
                     86,                 1.0394,                 1.4394,                0.63381,                0.95811,                0.96187,                0.87121,                0.95224,                0.68089,                0.89353,                0.79167,                0.84216,                0.37993,                 1.1231,                 1.6664,                0.62404,                 1.0138,               0.001626,               0.001626,               0.001626
                     87,                   1.05,                 1.4606,                0.63593,                  0.952,                 0.9346,                0.90909,                0.95246,                0.70713,                0.91367,                0.81818,                0.86517,                0.42536,                 1.0146,                 1.7342,                0.59715,                0.98518,              0.0016216,              0.0016216,              0.0016216
                     88,                 1.0312,                 1.4504,                0.62758,                0.97271,                0.94731,                0.88527,                0.96415,                0.69506,                0.89364,                0.79569,                0.85348,                0.38056,                 1.0328,                 1.6983,                0.60872,                0.98531,              0.0016172,              0.0016172,              0.0016172
                     89,                 1.0658,                 1.4063,                0.63336,                0.96952,                0.93471,                0.89394,                0.95534,                0.69297,                 0.9262,                0.76136,                0.86058,                0.42374,                0.99832,                 1.5433,                0.60963,                0.97304,              0.0016128,              0.0016128,              0.0016128
                     90,                 1.0739,                 1.4119,                0.62935,                0.97866,                0.92298,                0.90783,                0.95374,                 0.6585,                0.90474,                0.78409,                 0.8614,                0.35093,                 1.1523,                 1.7779,                0.64536,                 1.0331,              0.0016084,              0.0016084,              0.0016084
                     91,                 1.0333,                 1.4443,                0.62936,                0.96305,                0.89478,                0.93182,                0.95166,                0.68844,                0.92724,                0.79167,                0.86462,                0.43169,                 1.0557,                  1.581,                0.59706,                 1.0097,               0.001604,               0.001604,               0.001604
                     92,                 1.0403,                 1.3986,                0.64923,                0.96084,                0.90708,                0.91667,                0.95574,                0.66178,                0.92334,                0.79167,                0.87035,                0.36827,                 1.1517,                 1.6303,                0.62749,                 1.0256,              0.0015996,              0.0015996,              0.0015996
